stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,source_url,identity_source_url,identity_basis,listed_by_year_end,leading_firm_it_candidate,final_status
000713,2022,国投丰乐种业股份有限公司,深圳证券交易所,国投丰乐,1997-04-22,合肥丰乐种业股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,半年度报告明确当前公司曾用名单名称且证券代码保持000713,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000713,2023,国投丰乐种业股份有限公司,深圳证券交易所,国投丰乐,1997-04-22,合肥丰乐种业股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,半年度报告明确当前公司曾用名单名称且证券代码保持000713,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2014,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2015,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2018,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2019,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2020,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2021,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2022,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000735,2023,罗牛山股份有限公司,深圳证券交易所,罗 牛 山,1997-06-11,罗牛山股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
